gen	evals	std                                          	min                                                  	avg                                                              	max                                          
26 	168  	[2.4083592  2.07371745 1.17763916 0.17586521]	[-3.40434695 -2.37168976 -0.93564859  5.40057672]    	[2.28399317 3.92606823 1.70213992 5.87568478]                    	[8.01471075 6.24265365 4.12343022 6.23910158]
27 	168  	[2.8651186  3.54679212 1.50259238 0.21893094]	[ -3.40434695 -31.30359706  -2.89157713   5.31191015]	[2.48750141 3.07108648 1.67363509 5.8759474 ]                    	[8.86308642 6.24265365 9.19473634 6.23910158]
28 	168  	[3.2700667  5.07094211 1.55005351 0.22188476]	[-11.70283854 -42.5045871   -2.89157713   5.31191015]	[2.37312423 3.00285444 1.7481934  5.85394905]                    	[9.35675754 6.22717168 9.19473634 6.2352478 ]
29 	168  	[3.35184698 5.13694989 1.67658034 0.23059815]	[-11.70283854 -42.5045871   -2.89157713   5.31191015]	[2.68325796 2.78614579 1.67870002 5.83912899]                    	[9.35675754 6.23773853 9.19473634 6.23896136]
30 	168  	[3.33734081 7.31308843 1.99731903 0.23798244]	[-11.70283854 -44.38786069  -2.79249724   5.31191015]	[2.49245969 1.96826711 1.95345127 5.83714295]                    	[9.35675754 6.24251039 9.73790844 6.23924893]
31 	168  	[ 3.5396764  11.2460015   2.24123411  0.24015891]	[ -11.70283854 -109.54660329   -2.79249724    5.31191015]	[2.91445704 1.17791114 2.14728096 5.7784366 ]                    	[10.68296277  6.23773853  9.73790844  6.240042  ]
32 	168  	[ 3.56570236 12.14160129  2.46913312  0.2449625 ]	[ -11.70283854 -109.54660329   -1.45024825    5.31191015]	[2.72854624 0.53675672 2.32141477 5.78562186]                    	[10.68296277  6.24365408 10.40321111  6.24092624]
33 	168  	[ 4.03029994 13.45387502  3.02607406  0.26918816]	[ -11.70283854 -109.54660329   -8.40886773    5.31191015]	[ 3.04664207 -0.46067756  2.83005821  5.74399308]                	[10.68296277  6.24372422 10.40321111  6.24092624]
34 	168  	[ 4.61114037 12.88248744  3.22048746  0.25554266]	[ -11.70283854 -109.54660329   -8.40886773    5.31191015]	[ 3.16199968 -0.92683216  3.23403668  5.71298543]                	[11.83129235  6.23773853 11.72345296  6.24081171]
35 	168  	[ 5.86676738 14.73146614  3.80034185  0.25688015]	[ -23.39155902 -109.54660329   -8.40886773    5.25689416]	[ 2.4209693  -3.12981494  3.528513    5.69865698]                	[12.87398981  6.23773853 13.88178052  6.24010698]
