gen	evals	std                                          	min                                              	avg                                          	max                                          
134	168  	[ 4.38827475 45.72863333  5.52817366  1.19268516]	[  -5.38438729 -212.79533996  -12.8099793     2.87038992]	[  4.19698617 -28.2310887   -2.04573617   5.57164497]	[12.45417557  6.13618956  8.57041792  7.48707357]
135	168  	[ 4.53101821 36.41120098  5.603911    1.13489584]	[  -5.38438729 -204.86300821  -12.8099793     2.87038992]	[  3.85534508 -21.88208803  -1.7747056    5.64773479]	[12.45417557  6.13618956  8.57041792  7.48707357]
136	168  	[ 4.62918552 37.60589441  5.87961562  1.05350139]	[  -5.38438729 -204.86300821  -12.8099793     2.87038992]	[  3.68699677 -21.51940316  -2.34096083   5.80229488]	[12.45417557  6.00113511  8.57041792  7.48707357]
137	168  	[ 4.62425747 37.03640742  5.87836158  1.07969805]	[  -5.38438729 -204.86300821  -12.8099793     2.87038992]	[  3.70449953 -21.13187216  -2.32552939   5.75439278]	[12.45417557  5.97630352  8.57041792  7.48707357]
138	168  	[ 4.61353504 37.44240452  5.78549272  1.06360929]	[  -5.38438729 -204.86300821  -12.8099793     2.87038992]	[  3.66989137 -21.46820195  -2.32738955   5.76043257]	[12.45417557  6.13797841  8.57041792  7.48723034]
139	168  	[ 4.62813257 38.43040186  5.73577137  1.07815107]	[  -5.84424866 -204.86300821  -12.8099793     2.87038992]	[  3.67184802 -21.83141778  -2.26812371   5.75488455]	[12.45417557  6.13797841  8.57041792  7.48723034]
140	168  	[ 4.65737922 38.33159326  5.73839718  1.05806492]	[  -5.84424866 -204.86300821  -12.8099793     3.00132638]	[  3.74960999 -21.67079568  -2.26537927   5.76167391]	[12.45417557  6.24493263  8.57041792  7.48723034]
141	168  	[ 4.90510147 39.12292183  6.09648876  1.01193369]	[  -5.84424866 -204.86300821  -12.8099793     3.04385665]	[  3.26256512 -19.7375663   -2.12546814   5.84320157]	[12.45417557  6.24493263  8.57041792  7.48819393]
142	168  	[ 4.9387447  40.01541782  6.11811839  1.02253402]	[  -5.84424866 -204.86300821  -12.8099793     3.08408607]	[  3.60066415 -21.30881742  -2.31923875   5.80678957]	[12.45417557  6.24493263  8.57041792  7.48723034]
143	168  	[ 4.97538818 40.19223597  6.19365061  1.0873889 ]	[  -6.57597949 -204.86300821  -12.8099793     3.08408607]	[  3.50002094 -22.00747124  -2.09614062   5.71883595]	[12.45417557  6.21195668  8.57041792  7.48769587]
144	168  	[ 4.88486825 43.26751821  6.18556867  1.10751773]	[  -6.57597949 -204.86300821  -12.8099793     3.08408607]	[  3.66513384 -23.54585447  -2.2494258    5.66857129]	[12.45417557  6.21195668  8.57041792  7.4882517 ]
145	168  	[ 4.86368096 44.22953912  6.209223    1.0730808 ]	[  -5.84424866 -204.86300821  -12.8099793     3.08408607]	[  3.58670016 -24.42247311  -2.29388156   5.73223646]	[12.45417557  6.20787456  8.57041792  7.48830105]
146	168  	[ 4.6527862  46.48115613  6.04406703  1.07049726]	[  -6.1985154  -204.86300821  -12.8099793     3.14793189]	[  3.93744131 -25.90940653  -2.78620873   5.69007892]	[12.45417557  6.20787456  8.82310877  7.48825193]
147	168  	[ 4.80762627 52.10145194  6.0098514   1.0681096 ]	[  -6.1985154  -204.86300821  -12.8099793     3.14793189]	[  3.85676241 -27.42552265  -2.73963053   5.71252621]	[12.45417557  6.24575606  8.82310877  7.48825279]
148	168  	[ 4.6789955  52.97449549  5.91763403  1.11478319]	[  -6.1985154  -204.86300821  -12.8099793     3.14793189]	[  4.0411708  -28.37121952  -2.91607396   5.67120301]	[12.45417557  6.19290269  8.82310877  7.48825279]
149	168  	[ 4.81400621 51.98483896  5.90795553  1.09452931]	[  -6.1985154  -204.86300821  -12.8099793     3.37810475]	[  3.80378563 -27.69222028  -2.54004885   5.68281384]	[12.45417557  6.05134964  8.82310877  7.48825279]
150	168  	[ 4.7732894  52.22451689  6.05476435  1.0757751 ]	[  -6.24320142 -204.86300821  -16.72287319    3.44893028]	[  4.2183945  -31.06074966  -3.20728659   5.70110236]	[12.45417557  6.1363893   9.17895618  7.48825279]
151	168  	[ 4.73596458 50.28836477  5.94281909  1.03316867]	[  -6.24320142 -204.86300821  -13.51064621    3.44893028]	[  3.75340246 -26.90132449  -2.74166065   5.80607743]	[12.45417557  6.13670441  9.17895618  7.48376684]
152	168  	[ 4.84128789 52.77246974  6.08893419  1.02259132]	[  -6.92318041 -204.86300821  -13.51064621    3.41237715]	[  4.01591298 -30.59598335  -3.15474745   5.77640616]	[12.45417557  6.22531869  9.17895618  7.49454458]
153	168  	[ 4.90576739 52.6190168   6.00753521  1.02987363]	[  -6.92318041 -204.86300821  -13.51064621    3.41237715]	[  4.01036825 -30.70449331  -3.04348867   5.79208898]	[12.45417557  6.22531869  9.17895618  7.49454458]
154	168  	[ 5.07867607 52.48279657  6.11160309  0.99918762]	[  -7.92410928 -206.19564722  -13.88813504    3.41237715]	[  3.89353736 -32.37708615  -3.02271242   5.77992461]	[12.45417557  6.15732372  9.17895618  7.49418162]
155	168  	[ 4.58046962 44.36624903  5.75376449  1.06803024]	[  -7.92410928 -206.19564722  -13.88813504    1.66163743]	[  4.13714413 -24.39787755  -3.1747918    5.70162045]	[12.45417557  6.15732372  9.17895618  7.49418162]
156	168  	[ 4.84487014 46.75442951  6.06780878  0.9930483 ]	[  -8.87315257 -206.19564722  -13.88813504    1.66163743]	[  3.89242424 -26.35901438  -2.83916503   5.77134325]	[12.45417557  6.15732372  9.18916785  7.49418162]
157	168  	[ 4.80235662 50.79649039  6.08682777  1.03929298]	[  -8.87315257 -206.19564722  -13.88813504    3.44893028]	[  4.13368599 -30.88187279  -3.12523483   5.77072102]	[12.45417557  6.23629864  9.18916785  7.4967833 ]
158	168  	[ 5.01813241 49.62976609  6.26519697  1.06916947]	[  -8.87315257 -206.19564722  -13.88813504    2.18260739]	[  3.6922181  -29.60653341  -2.326359     5.68794108]	[12.45417557  6.24613606  9.18916785  7.49418162]
159	168  	[ 5.14331718 46.27045343  6.26715447  1.03775801]	[  -8.87315257 -204.86300821  -13.6189751     2.18260739]	[  3.52456128 -27.00903536  -2.16206533   5.71587033]	[12.45417557  6.23629864  9.18916785  7.49202114]
160	168  	[ 5.01326734 45.90817936  6.23238973  1.03008135]	[  -8.87315257 -204.86300821  -13.6189751     2.18260739]	[  3.70931781 -27.17444761  -2.14696947   5.72808069]	[11.37051248  6.23629864  9.18916785  7.49273807]
